creator,facebook_id
2! Idol,124501338300
3DFirstAid,145464235464026
AJ+,407570359384477
AJ+arabi,ajplusarabi
AJ+espanol,ajplusespanol
Acapella Videos,729144560553826
Addiktion,officialaddiktion
AdrianVanOyen,notyouraveragegoat
Adriana Kars,383868794967200
Amanda Cerny,missamandacerny
America's Funniest Home Videos,afv
American Idol,123984435600
Anthony Ramsey,791444607539751
Arron Crascall,442299909214819
ATTN,attn
BBC News,228735667216
BanazMX,banazmx
Ben Phillips,benphillipsuk
BenchWarmers,106356299474820
Best of Vines,170901143077174
Bleacher Report,7331091005
Braddy,mr.braddy
Brightside,brightside
Bryan Silva,cubanswagpapi
Buzfeed BFF,bff
BuzzFeed Food,491452930867938
BuzzFeed Oz,1412984988933193
BuzzFeed Proper Tasty,1737181656494507
BuzzFeed Top Knot,buzzfeedtopknot
BuzzFeed Video,1318800798260799
Buzzfeed Food,buzzfeedfood
BuzzFeedNews,buzzfeednews
Buzzfeed Video,buzzfeedvideo
CBC News,cbcnews
CBS News,cbsnews
CNN,5550296508
Channel 4 News,channel4news
Chris Chricker Official,chriscrockerofficial
Codesmeufs,codesmeufs
Corridos VIP,corridosvip1
Cosmopolitan,cosmopolitan
Cristian Vera,182921855106602
Cupcake Addiction,cupcakeaddiction
Curtis Lepore,curtislepore
DJ Reminise,8701278868
Dahk'Man,officiieldahkman
DeLorean,teamdelorean
Demic,jerseydemic
Disturb Reality,disturbreality
Dj Zant,338694556150992
DjPaisaMixx,139137562806325
Doug the Pug,itsdougthepug
Ellen,26012002239
FC Barcelona,fcbarcelona
Facebook,facebook
Fail Army,112905748806596
FoodBeast,foodbeast
Fortafy,513404865420527
Fox News,15704546335
Funk You Entertainment,271247409666545
Funniest And Craziest Videos,officialfunniestcrazyvideo
HD Production,384139694934173
Haaradak,lacasadelcurioso
Haberin Bizden,haberinbizdencom
Hashem Al-Ghaili,693504594115135
HowToBasic,howtobasic
Huff Post Lifestyle,63096571313
Huffington Post,huffingtonpost
Hữu Công,huucong.skda
IGN,ign
Insider,1413475698959824
Jaan Arya,jaanaryaa
Jake Paul,imjakepaul
Jon Paul Piques,1407167032831912
KEEP THE HEAT,43292177068
Ke Buena México,146351492058492
King Bach,606246146140197
King Keraun,448615305250431
Kristen Renee,xkristenreneex
LaTruth Hampton,131718897880
Lad Bible,199098633470668
Lance Stewart,134672973222186
Logan Paul,148364602028392
McMaromba,212035542261852
Media Takeout,731743396857610
Merette Show,105250479465
NBA,8245623462
NBC News,nbcnews
NBC Nightly News,nbcnightlynews
NFL,68680511262
Nicky Jam,nickyjampr
NowThis News,341163402640457
Page Kennedy,pagefanclub
Pho,146310252233186
Piques,jonpaulpiques
Play it,playit.buzz
Prinz Marcus von Anhalt,prinzmarcus
Radio Ecuamerica,radioecuamerica
Redbull,14226545351
Remedios Castro,501816303292397
Renaud Margry,renaudmargry
Ridi che ti passa,ridichetipassaaaaaa
Rugby World Cup,rugbyworldcup
RYOT,ryot
S. Saint,116132035111903
Shaadow Sefiroth,533522410011943
Sky News,164665060214766
So Flo Antonio,678548808853043
Speed Society,414982355185739
Steve O,steveo
StevenJoTV,175128962516590
Story of my Life (by Buzzfeed),571035253040893
StreetFX,streetfx
Tastemade,268804973206677
Tastemade Brasil,768053913287830
Tasty (Buzzfeed),1614251518827491
Tech Insider,352751268256569
Tha Joker,4thajoker
The Best of Tumblr,252714998213038
The Eh Bee Family,498505146890911
The Ellen Show,ellentv
The Shade Room,theshaderoom
The Tonight Show with Jimmy Fallon,31732483895
The Weather Channel,theweatherchannel
INSIDER,thisisinsider
Tip Hero,491452930867938
Top Vines,171112259610923
Unilad,146505212039213
Upworthy,354522044588660
VICE News,vicenews
Viral Thread,363765800431935
Vlechten Met Daan,1438404543063932
Vocativ,vocativ
Vox,vox
WWE,wwe
Whistle Sports,whistlesports
World Star Hip Hop,worldstarhiphop
Yetmir,133075890097354
YouLike,ceclip
Young Paperboyz,268597136574561
codesmeufs,CodesMeufs
djmorphiustv,134466319923267
sutflute,121134201238245