creator,youtube_id
"FOX 10 Phoenix",UCJg9wBPyKMNA5sRDnvzmkdg
"FreeDawkins",UCEjOSbbaOfgnfRODEEMYlCw
"WhatCulture Wrestling",UCq8jp0E99ELBvmBxjJ-JLgA
"TheMagicMan",UCQI7W6ikLs9sz3Z4LuPw6RQ
"UrbanMonsterHigh",UCYqgL52cieh2LXY6GIvI0PQ
"Fairy Slayer",UCxYiZpwD6OqyYAR6vOTytow
"The Brony Notion",UCD_VOth7RmckN6DbmFJa__A
"Jalopnik",UCbS8lAzGFBRyHYC8ibwcyyQ
"WhipAddict",UCSNnb_mJEJIWkFgANfsRYLw
"RatchetsAnd Wrenches",UCT5dv3iwFuy041dbWPB6skg
"BlastphamousHD TV",UCtrIvE-HULm9jbgzN26AG-Q
"BlastphamousHD TV",UCtrIvE-HULm9jbgzN26AG-Q
"Jack Ãœ",UCtuGozGshjqqErhHGEmHnJw
"Drake - Topic",UCU6cE7pdJPc6DU2jSrKEsdQ
"The Weeknd - Topic",UClYV6hHlupm_S_ObS1W-DYw
"King Imprint",UCafqCulUY1rEUB_Q9hWSPuw